card,color,cost,creature,scryfall,mtgo,back
Arbor Elf,G,{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/7/b7d6b117-0c14-4455-92fc-29555ee75d97.jpg?1562559093,45364,
Avacyn's Pilgrim,G,{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/e/7eb39e97-53c2-4df0-9fb3-a3d6a24ec41f.jpg?1562832870,42678,
Birds of Paradise,G,{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/0/307d4236-1e54-43e3-83f1-063d49d16dda.jpg?1562637721,41607,
Elves of Deep Shadow,G,{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/b/7bea6dea-d767-4092-a285-305d9997357a.jpg?1598916196,23100,
Noble Hierarch,G,{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/a/6adfe928-1305-444d-b709-1e714544daaf.jpg?1562801546,31745,
Warden of the First Tree,G,{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/e/2e0c6628-04f1-4800-baa8-bcaefe64f59f.jpg?1562823823,55442,
Wild Nacatl,G,{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/e/5eb18038-eb6a-4d27-ba52-52a1cee6b512.jpg?1562704462,31061,
Flinthoof Boar,G,{1}{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/e/7e380b99-0173-4083-a4a2-222ad98b904a.jpg?1562556101,45680,
Ilysian Caryatid,G,{1}{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/c/7cdf8ab8-f221-4f7b-9af9-3849cad1f596.jpg?1581480645,79472,
Paradise Druid,G,{1}{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/e/6ed8d9e7-cdad-450d-8329-fa653d387a63.jpg?1557576973,71948,
Rattleclaw Mystic,G,{1}{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/f/4fb6c2e0-eeaa-4d60-aab7-2b8c739a9278.jpg?1562786444,54176,
Sylvan Caryatid,G,{1}{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/4/d40b65c1-b24d-492d-81b9-d8474ebdc08c.jpg?1562832168,50260,
Pride Sovereign,G,{2}{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/d/dd3d32b7-672f-4ceb-a1c9-17daefd2cb0c.jpg?1562817474,64736,
Woodland Wanderer,G,{3}{G},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/c/cc1e6db8-5093-44e4-95d7-3fdf8c55c1dd.jpg?1562943201,58655,
Farseek,G,{1}{G},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/9/f9b69d33-96dd-4844-aefa-27a885cb2ffc.jpg?1562562178,45724,
Mythos of Brokkos,G,{2}{G}{G},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/a/fa4fc5b1-6666-4c60-898f-f927212c7923.jpg?1603884849,80345,
Jubilant Skybonder,WU,{1}{W/U}{W/U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/f/7f8f2d69-fba9-40e5-8ef7-75e14ef4070a.jpg?1591605364,80455,
Mistmeadow Witch,WU,{1}{W/U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/e/7e776fe0-6574-4fca-91bd-eb6e7383e5be.jpg?1562832219,29733,
"Niambi, Esteemed Speaker",WU,{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/2/e21827eb-fa49-4784-a86b-aef164a5018e.jpg?1594737411,81671,
Pride of the Clouds,WU,{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/c/ecc2a029-6e64-4b6d-9d82-afc319dbc57a.jpg?1593273717,24043,
Skycat Sovereign,WU,{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/2/6209dbfd-b765-44c5-b3ad-94f6e0705926.jpg?1591228236,80423,
Thistledown Liege,WU,{1}{W/U}{W/U}{W/U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/0/20e34233-0972-4aa7-a5ab-eabed2235148.jpg?1562827775,29547,
Unsettled Mariner,WU,{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/a/eaea2e54-ee50-47b9-a2a5-e3353831248c.jpg?1562202420,72804,
Watcher of the Spheres,WU,{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/5/354b9ea4-3d55-48cc-b426-c46b1d1bb397.jpg?1594737462,81681,
Deputy of Detention,WU,{1}{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/e/7e362055-78a1-48fa-a4ef-6cf7e0b21b14.jpg?1584831457,71330,
Empyrean Eagle,WU,{1}{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/c/ac555709-c7cc-4c64-8a6f-8fe2bc149fcd.jpg?1592517502,73315,
Geist of Saint Traft,WU,{1}{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/5/35b57113-b39a-460b-b4aa-02606b40bbd0.jpg?1562828502,42824,
"Linvala, Shield of Sea Gate",WU,{1}{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/9/49b66956-82e1-402f-9088-2201bdc0d4b8.jpg?1604200172,83447,
Reflector Mage,WU,{1}{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/4/9473fe01-83f6-4432-ab01-f7953d2ca904.jpg?1562924934,59587,
Soulherder,WU,{1}{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/a/ea23111b-ccc1-4d5c-a9d2-9db14c728820.jpg?1562202409,72800,
Spell Queller,WU,{1}{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/b/9b76bcd4-580a-4435-afe9-290940b1837f.jpg?1576385020,61480,
"Brago, King Eternal",WU,{2}{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/b/8ba873c1-f1ff-49f2-9e0d-bc9d52f94d76.jpg?1580015020,60833,
"Raff Capashen, Ship's Mage",WU,{2}{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/7/674070e3-6efe-45e4-aff6-e4a49ec2106e.jpg?1562737002,67869,
"Yorion, Sky Nomad",WU,{3}{W/U}{W/U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/7/275426c4-c14e-47d0-a9d4-24da7f6f6911.jpg?1591228496,80473,
Cloudblazer,WU,{3}{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/c/3cb12355-abd8-4bf3-aac1-f710ac162585.jpg?1576382761,62035,
Glassdust Hulk,WU,{3}{W}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/9/397e6ff5-f5ee-4963-9942-4aa25f5eb64a.jpg?1562640655,32302,
Absorb,WU,{W}{U}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/e/1e8a43c1-42d1-45ef-8a63-4b87775a6e88.jpg?1584831352,71302,
Detention Sphere,WU,{1}{W}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/f/afee5464-83b7-4d7a-b407-9ee7de21535b.jpg?1562791607,46423,
Sphinx's Revelation,WU,{X}{W}{U}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/0/404d9413-ef57-4b6e-8584-48a1dc7fe6f1.jpg?1562785356,46559,
Ojutai's Command,WU,{2}{W}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/7/c7a7f500-594d-4c7b-80e8-54ae1ada2444.jpg?1562792959,56328,
Supreme Verdict,WU,{1}{W}{W}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/e/4e9648f9-7a67-4717-bca1-861d1f7fed43.jpg?1562786100,46483,
Fractured Identity,WU,{3}{W}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/b/8b5a11be-59a8-4710-9417-be4f0b6d541a.jpg?1562254436,65681,
Migratory Route,WU,{3}{W}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/b/dbe53e56-2f91-40be-ba05-d5fc572b43f1.jpg?1562255345,62355,
Time Wipe,WU,{2}{W}{W}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/2/62c59475-6f15-48d2-b105-f49901f20d44.jpg?1557577308,72052,
"Venser, the Sojourner",WU,{3}{W}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/d/3d48d62e-5c1f-464c-aa81-8a5d2690f48e.jpg?1562816637,38335,
Nightveil Specter,UB,{U/B}{U/B}{U/B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/3/e3754b8c-16d2-41e3-b41b-4b2e70833e82.jpg?1588456579,47751,
Baleful Strix,UB,{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/1/a1b799b2-bb4e-482f-9afd-5aab90090710.jpg?1599707817,82416,
Glen Elendra Liege,UB,{1}{U/B}{U/B}{U/B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/4/94cc72b7-b593-438f-a07a-35f2452e1c48.jpg?1562833340,29491,
"Lazav, the Multifarious",UB,{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/4/24c1e710-f61c-4dd6-b620-6d2e1ecab689.jpg?1572893714,69741,
Soul Diviner,UB,{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/f/7fb66ccd-a930-4757-832c-c4b0259741e2.jpg?1557577275,72042,
Tidehollow Strix,UB,{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/a/4aafc65d-faa8-4bfe-83ac-7714c969022b.jpg?1562703569,31079,
Araumi of the Dead Tide,UB,{1}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/8/48b597dd-f6eb-45da-977d-453e8c1433cc.jpg?1604345106,85316,
Obsessive Stitcher,UB,{1}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/4/e449f985-d149-49eb-87d9-7a325215f82d.jpg?1594737421,81673,
Thief of Sanity,UB,{1}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/0/307543ca-8e17-433f-9758-4c77da6c0870.jpg?1572893852,69783,
"Yuriko, the Tiger's Shadow",UB,{1}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/1/e1ed95a7-23b7-4384-8395-5649c9a2fec9.jpg?1559959091,70651,
Architects of Will,UB,{2}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/d/edd69ea7-aab6-4f30-98f4-640cb0a6046c.jpg?1562644950,32322,
"Atris, Oracle of Half-Truths",UB,{2}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/b/db6c91ec-df14-460f-967c-f182562fe7d8.jpg?1581480984,79542,
Evil Twin,UB,{2}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/a/3a53487a-c00b-42da-904c-f022a0c5b1ed.jpg?1562828783,42518,
Hostage Taker,UB,{2}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/8/e8dc67a0-05d9-463e-9794-30a7e951c240.jpg?1562565924,65466,
Ingenious Infiltrator,UB,{2}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/1/919cd266-b796-4a1c-937f-76b565c82495.jpg?1562202349,72780,
Fallen Shinobi,UB,{3}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/0/900c9dfd-ece1-4b09-a801-0fa05e1994b9.jpg?1562202313,72770,
The Scarab God,UB,{3}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/2/621cfd79-be4e-41e3-95ce-62b0eeff5baf.jpg?1562801181,64774,
Dragonlord Silumgar,UB,{4}{U}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/e/2eae504d-d4a9-440f-8ceb-df967cc50494.jpg?1562784323,55934,
Covetous Urge,UB,{U/B}{U/B}{U/B}{U/B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/3/f3b4871d-4d74-411b-88e0-9a9d386cafe1.jpg?1572490875,78558,
Discovery // Dispersal,UB,{1}{U/B} // {3}{U}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/c/ace631d1-897a-417e-8628-0170713f03d3.jpg?1572893971,69831,
Thought Erasure,UB,{U}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/c/7ce226ad-cb1d-47f5-90fc-27704e181884.jpg?1572893858,69785,
Connive // Concoct,UB,{2}{U/B}{U/B} // {3}{U}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/9/890ac54c-6fd7-4e46-8ce4-8926c6975f60.jpg?1572893965,69825,
Recoil,UB,{1}{U}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/2/225f700c-fdf6-41ea-a091-36b0f75f0211.jpg?1562903083,42138,
Soul Manipulation,UB,{1}{U}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/c/bcd3cb05-c6f9-435a-a0e7-1f85da4a36eb.jpg?1562643969,32412,
Brainbite,UB,{2}{U}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/2/925c08bd-120d-49a5-a258-bda3859c1d4c.jpg?1562642934,32336,
River's Grasp,UB,{3}{U/B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/2/1209bb9d-8aeb-4d7c-85bb-d9e9a24e36ac.jpg?1568911069,29813,
Enter the God-Eternals,UB,{2}{U}{U}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/6/f67e7070-2266-4c93-8c89-084e12ba7a4e.jpg?1557577135,71998,
Silumgar's Command,UB,{3}{U}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/a/ba26dbbc-d4a2-44a1-8e6b-affe61f43a34.jpg?1562792137,56134,
Rakdos Cackler,BR,{B/R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/f/5f873c0b-e779-4f09-8e9c-94a1765eb5da.jpg?1562787081,46435,
Ashenmoor Liege,BR,{1}{B/R}{B/R}{B/R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/a/9a40793a-f5d1-4a1b-a7ab-0cb7513a00ca.jpg?1562833623,29453,
Dreadhorde Butcher,BR,{B}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/5/457bc402-4c31-465c-95e1-694f686e257e.jpg?1557577122,71994,
"Grenzo, Dungeon Warden",BR,{X}{B}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/e/6e19c383-88bd-4bde-ac81-c0eb6d5b5bd4.jpg?1562436569,67324,
"Kroxa, Titan of Death's Hunger",BR,{B}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/e/cee0459b-9aac-4d2f-abe4-4d5fedde7eb8.jpg?1581481096,79566,
Azra Oddsmaker,BR,{1}{B}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/f/7f5e6a5a-18ee-438f-ab16-694e19a2410e.jpg?1562920701,68878,
"Judith, the Scourge Diva",BR,{1}{B}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/a/0a742125-730d-4082-bfd8-5feb7733def4.jpg?1584831612,71370,
Lightning Skelemental,BR,{B}{R}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/7/5734012b-31db-4125-8fea-c88666969cd6.jpg?1562202372,72788,
Mayhem Devil,BR,{1}{B}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/7/17416926-168b-49b3-9231-acbb8f8a1d13.jpg?1557577188,72014,
Murderous Redcap,BR,{2}{B/R}{B/R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/f/5f7171f0-7d42-47c9-ab46-93c2bb42c914.jpg?1562830742,29623,
"Olivia, Mobilized for War",BR,{1}{B}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/2/7297dd81-8367-42e9-abf9-9227e202e7ae.jpg?1576385369,59946,
Blazing Hellhound,BR,{2}{B}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/3/332769b1-1eb5-4c77-8317-27addc28650b.jpg?1562013794,58096,
"Chainer, Nightmare Adept",BR,{2}{B}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/7/d7b0a8f8-d368-45e6-a546-984e7b1913e0.jpg?1568003648,77132,
"Exava, Rakdos Blood Witch",BR,{2}{B}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/c/6cb72a64-89e7-4b0e-a3d3-1309829071d2.jpg?1562915205,48248,
Falkenrath Aristocrat,BR,{2}{B}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/3/c397388e-ebe2-4034-83b7-a7c0df1af78f.jpg?1562941215,43417,
