card,color,cost,creature,scryfall,mtgo,back
Changeling Hero,W,{4}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/4/24f0c586-a1a5-4907-801a-7815c4dceb39.jpg?1562341767,28221,
Cloudgoat Ranger,W,{3}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/e/9e344859-7248-4498-8303-252f196a007b.jpg?1562360327,28349,
Oketra's Attendant,W,{3}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/0/6074fe64-8a2d-411e-8d33-97b1c60633e4.jpg?1543674719,63646,
Sentinel of the Eternal Watch,W,{5}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/a/0a7b01ce-2729-4b70-ae0a-b9a1007be78f.jpg?1562006549,57824,
Quarry Colossus,W,{5}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/9/d921128a-ebfd-4e3c-8728-481a8c3c03f3.jpg?1593095317,52146,
Ajani's Presence,W,{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/7/e77e2fd5-5c46-4f6b-ac43-ec23fab57a1a.jpg?1593095164,52202,
Capashen Standard,W,{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/6/16665386-405e-48c9-8c69-c21b03931c2f.jpg?1562443328,12999,
Cartouche of Solidarity,W,{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/0/90eaf94e-85a7-4958-aa58-8e2fe44db58d.jpg?1543674599,63616,
Defiant Strike,W,{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/9/39ec83fa-5cb4-4633-8827-36d874a2d2e7.jpg?1562785005,53964,
Ethereal Armor,W,{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/6/76960e65-e5c7-4414-b9a5-37d7b2ded4a0.jpg?1562788397,46571,
Gods Willing,W,{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/b/abafabb3-b2e7-4d78-b4b7-d8f701d3ee8b.jpg?1562824643,50478,
All That Glitters,W,{1}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/9/d9713032-2956-4564-b5f5-2dd16245a4e6.jpg?1572489608,78090,
Apostle's Blessing,W,{1}{W/P},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/f/9f7c3571-925d-486e-80dd-bac47aa48283.jpg?1562880233,39684,
Compulsory Rest,W,{1}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/1/11cb3a5b-beee-4f53-a6b5-e9b5603546fa.jpg?1543674615,63620,
Dawn of Hope,W,{1}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/f/cf2a9e82-8670-4b7f-b5f0-8e10f8aeff1c.jpg?1572892521,69389,
Forced Worship,W,{1}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/0/e050701d-4609-470d-85ff-4b7638893c6a.jpg?1562882126,39946,
Intangible Virtue,W,{1}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/d/0dd21f5e-d284-4072-87b9-7f0e6140fe60.jpg?1562826140,42684,
Ordeal of Heliod,W,{1}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/7/77e85180-f3c9-4b03-9c25-223599b937ad.jpg?1562820095,50214,
Raise the Alarm,W,{1}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/b/4be510c8-fc01-4374-ac04-7968d24480fe.jpg?1562143273,19863,
Soulcatchers' Aerie,W,{1}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/3/b30df994-bb09-4d16-8443-223c6ce342dc.jpg?1562631545,17416,
Answered Prayers,W,{1}{W}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/7/175b6e34-9cb3-4c8d-9cc0-960082a9ee71.jpg?1562201057,72376,
Ghostly Prison,W,{2}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/2/82d7de2b-c909-48dc-9ab7-c4a8328e37bb.jpg?1562762048,21139,
Glorious Anthem,W,{1}{W}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/e/2efbc588-019e-416a-938c-4ccbe7121335.jpg?1562545624,27288,
Oblivion Ring,W,{2}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/e/9efc5a2a-eb76-410d-98e6-1455108faa52.jpg?1562653103,41163,
Omen of the Sun,W,{2}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/6/86586fe3-1a6e-4648-b3ff-b0d9340e66ff.jpg?1581479183,79184,
Angelic Accord,W,{3}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/3/03f26bc2-53d7-4448-8021-de35aa82fcc6.jpg?1562825463,49403,
Anointed Procession,W,{3}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/a/9a52c265-6920-4929-ba0a-70da08df01f1.jpg?1543674565,63606,
Battle Screech,W,{2}{W}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/a/eacf7dd0-5855-4e7b-b75c-8119cc3d1460.jpg?1562201069,72380,
Faith's Fetters,W,{3}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/4/04a7da8c-a444-4deb-89b9-2fc9e5475bff.jpg?1604535145,84822,
Retreat to Emeria,W,{3}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/b/4b65101f-808a-40b8-8864-ee84c00d2496.jpg?1562912681,58561,
Sigil of the Empty Throne,W,{3}{W}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/8/386f050c-0233-490f-94ab-92a7b5dc65cf.jpg?1562014960,57638,
Winds of Rath,W,{3}{W}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/5/952adb4c-b9c7-4316-8dae-10624cc3100e.jpg?1562925072,52691,
Feudkiller's Verdict,W,{4}{W}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/2/f2993319-5b3d-48ca-b78d-563a8b66d76d.jpg?1561969048,48748,
Merfolk Windrobber,U,{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/1/112077b8-1514-4320-a70f-b23f3c7ce18a.jpg?1604194520,83093,
Deranged Assistant,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/4/a4c03171-5ff0-4f79-bb03-16decf7d34ce.jpg?1562834970,42332,
Eyekite,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/9/49f7bda8-949a-42aa-9254-f39b791cb9a8.jpg?1562990266,72470,
Faerie Vandal,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/8/789c5c2b-3e51-4f6c-ac76-d276facf716f.jpg?1572489876,78196,
Jeskai Elder,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/f/bff9907c-4090-4dcc-aaf5-bc2a8dacce8b.jpg?1562792976,54086,
Jeskai Sage,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/d/6dff4734-7b2a-4089-a78a-46199818f39d.jpg?1562826310,55374,
Labyrinth Guardian,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/7/17921573-e3d1-45a7-b7e5-a27ae1fa3c2c.jpg?1543675032,63722,
Merfolk Looter,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/a/aad3aaec-7c88-4925-8023-0cf61bf906c2.jpg?1562655006,41243,
Nightveil Sprite,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/3/534d1166-4e01-4ec8-b4d9-e76861ec51b9.jpg?1572892797,69469,
Surveilling Sprite,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/e/aec114de-bee9-4a4a-826c-82a836b4bda1.jpg?1598914500,23146,
Thrummingbird,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/c/dc2dd336-e457-49a1-88ae-c35f0c846e99.jpg?1562823950,38079,
Vantress Gargoyle,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/a/daff1c8d-0f25-4bec-bd50-208ae2ac0aac.jpg?1572490034,78254,
Wharf Infiltrator,U,{1}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/6/264baa9a-67fc-4903-9ed8-a4ce6912a184.jpg?1576384252,61332,
Bazaar Trademage,U,{2}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/d/9d75faf7-fc27-4fc2-9e80-e35232c42542.jpg?1562201307,72454,
Champion of Wits,U,{2}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/7/d765221d-9718-47eb-aa49-9c0719337139.jpg?1562816531,64546,
Chasm Skulker,U,{2}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/3/13cf5b23-9427-4313-8af8-abf2f3800948.jpg?1562782934,53628,
Ingenious Skaab,U,{2}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/9/19d6ed0b-40ba-407d-94de-05a705e79b95.jpg?1576384161,61340,
Keeper of the Nine Gales,U,{2}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/7/f75eef50-b474-44bb-8222-3e473928304a.jpg?1562944856,18591,
Laboratory Maniac,U,{2}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/0/809205f3-acf5-4244-b360-09ce4ba76795.jpg?1562832976,42560,
Marang River Prowler,U,{2}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/b/1bc8174c-da93-414e-b89c-c588a2c4ed0c.jpg?1562822946,55328,
Nadir Kraken,U,{1}{U}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/8/7817e039-e509-4b6f-b5a3-deb3769bbdc8.jpg?1581479411,79234,
Selhoff Occultist,U,{2}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/e/aeac4885-bd04-42bd-8e10-06c3efbce108.jpg?1562835483,42582,
Silumgar Sorcerer,U,{1}{U}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/a/6a914304-e774-49fd-9ac7-09e36989b1d5.jpg?1562787763,55902,
Sinuous Striker,U,{2}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/d/ed2b97d1-3e69-4305-b1df-947ff64c5043.jpg?1562819172,64574,
Aven Initiate,U,{3}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/1/61203781-24ad-4bc9-9b69-97149f3043bc.jpg?1543674888,63688,
Curator of Mysteries,U,{2}{U}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/6/16caa0b6-dba9-4f93-bf8d-3b339474cbf1.jpg?1543674929,63700,
Forgotten Creation,U,{3}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/7/27f82ee6-b8cd-4dce-b213-3910302f30e9.jpg?1576384075,60322,
Murmuring Mystic,U,{3}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/f/5fc6adff-dcb3-456d-a8c2-0e77b784ff89.jpg?1572892777,69463,
Oneirophage,U,{3}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/a/caefbac6-b2a0-4a70-a912-25173eafd7b3.jpg?1562201432,72492,
"Toothy, Imaginary Friend",U,{3}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/b/ebdf2f50-f69a-47c4-a75f-ff55781bb0c8.jpg?1562942414,68752,
Vizier of the Anointed,U,{3}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/8/68ef426c-b396-4767-b360-435f67207022.jpg?1562802148,64594,
Youthful Scholar,U,{3}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/3/43ae8147-bf25-44f9-b75f-837b81ebe0de.jpg?1562785431,56236,
Aven Surveyor,U,{3}{U}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/b/dbb2185d-46c6-44c1-a67c-9b6af872e8eb.jpg?1562830525,55432,
Ethereal Forager,U,{4}{U}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/7/97543d69-547e-41f8-9a4f-908e5eb0ee4a.jpg?1591319443,80649,
Novijen Sages,U,{4}{U}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/4/04ec467e-5d4a-4941-ac30-801ed681da54.jpg?1593272699,24033,
Wretched Gryff,U,{7},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/d/9d65efec-018f-485c-906c-460379b4af87.jpg?1576383765,61110,
Vexing Scuttler,U,{8},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/c/1c3dd0aa-f6e9-435c-af64-20e9de67efe9.jpg?1576383758,61358,
Mental Note,U,{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/f/1f343724-6ecd-494f-8bfc-93676af4e173.jpg?1562628929,17450,
Opt,U,{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/6/66c3aa9f-5cb0-4c8d-a050-42938398071b.jpg?1562556805,65142,
Spontaneous Mutation,U,{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/0/a022c983-0fb8-4e8c-9ba3-9356ad340f66.jpg?1576384214,61126,
String of Disappearances,U,{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/9/99ef4f41-211c-4302-b112-1d85ab33952f.jpg?1562201521,72516,
Thought Scour,U,{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/8/88bf1ebb-9d85-4b9b-a614-c7f965c0893d.jpg?1595011042,43399,
Callous Dismissal,U,{1}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/6/66cef326-339c-49e5-9905-21a1603a46ae.jpg?1557576167,71694,
Contentious Plan,U,{1}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/e/8e30deb6-9e1f-4545-ae30-c30ba6c7b3a0.jpg?1557576180,71698,
Essence Capture,U,{U}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/e/ce137910-0f0e-4f94-9b95-6e0eeeba164e.jpg?1584830187,71074,
Lofty Denial,U,{1}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/4/64832674-beb1-446e-b2f7-8a5e271139a5.jpg?1594735569,81339,
Logic Knot,U,{X}{U}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/e/4e946be1-4ed6-4e2c-9782-3f630f8a8e1f.jpg?1562910897,26616,
Negate,U,{1}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/a/5a501252-e722-4ebf-bcf7-f53a42745fa7.jpg?1562878670,29010,
Omen of the Sea,U,{1}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/5/a5f30ecd-d009-4d44-aef4-c926ed55a521.jpg?1581479435,79240,
Ominous Seas,U,{1}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/e/ce8965f2-756a-4461-a643-db024a11c2de.jpg?1591226420,80131,
Radical Idea,U,{1}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/9/c9570734-5e9b-46ff-b606-9759b5195756.jpg?1572892828,69477,
Sweet Oblivion,U,{1}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/1/51ac77d4-f918-4bbc-b023-8117a8c401ee.jpg?1590720325,79264,
Archmage Ascension,U,{2}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/b/dbfe803d-88d7-4ad2-b3d8-c41c123d8bf3.jpg?1562617361,34824,
Countervailing Winds,U,{2}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/e/de1c0ef3-b32c-403a-93cb-29cf05795711.jpg?1562817497,64548,
Didn't Say Please,U,{1}{U}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/7/77500b53-0852-4d6a-bfe3-b1e8ef5a12cd.jpg?1572489858,78188,
Drake Haven,U,{2}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/3/4318da9d-dadf-444b-a0d4-fd270b216f5b.jpg?1543674943,63704,
Sphinx's Tutelage,U,{2}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/d/4d90c3b0-f958-4a15-94a1-9bf1b0a9ac2a.jpg?1562018976,57908,
Thieves' Fortune,U,{2}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/1/8175ec81-f4e2-45d2-a9d8-e8855e17ff4a.jpg?1562879642,29090,
Winged Words,U,{2}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/f/ff765065-b160-49b6-99ac-cd695bd0d903.jpg?1592516539,73059,
Bond of Insight,U,{3}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/4/648629af-e911-49e1-b564-c98f339b84a1.jpg?1557576160,71692,
Gust of Wind,U,{3}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/a/faabea92-d8cf-4591-b528-3e597d56b31f.jpg?1591226352,80117,
Induce Paranoia,U,{2}{U}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/c/bc462b75-8b08-47a3-be22-d7b5c062ec5b.jpg?1598914307,23094,
Pore Over the Pages,U,{3}{U}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/2/b2288f7b-05b1-4a6c-8d02-42ffcadc6f0b.jpg?1576384182,60110,
The Mirari Conjecture,U,{4}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/c/1c68954c-4bab-4973-9819-ecd084438303.jpg?1562732195,67579,
Rise from the Tides,U,{5}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/e/6e099a6a-97c4-42cd-aca6-5e1a2da0d5e5.jpg?1576384210,59824,
Set Adrift,U,{5}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/d/cdad122d-a872-449f-9a7c-0f054b711d11.jpg?1562793718,54092,
Into the Story,U,{5}{U}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/8/c838f08e-7fb6-46e7-83bb-dce8877d6c87.jpg?1572489909,78208,
Treasure Cruise,U,{7}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/a/7a59d4b1-6cf4-44ec-8a96-1bb7094fea21.jpg?1562788963,54300,
Bloodsoaked Champion,B,{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/4/34bc9bb0-5ec1-400f-89e7-b450980a3391.jpg?1562784700,54172,
Changeling Outcast,B,{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/8/08151d00-513a-4957-aa16-01c0f0245112.jpg?1580953836,72536,
Death's Shadow,B,{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/6/16e040c3-bf42-4a5b-aeb3-5dc9921151e5.jpg?1562282343,35573,
Thieves' Guild Enforcer,B,{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/f/df99f770-2c39-4025-a8a2-a5890f61eb53.jpg?1594736416,81477,
Thrull Parasite,B,{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/3/c38dfb08-ab41-4759-9967-b5a25f18518a.jpg?1561844969,47561,
Vampire Lacerator,B,{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/4/4403436b-2605-495b-ab08-9a2001cc7f8b.jpg?1562261573,57160,
Asylum Visitor,B,{1}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/5/55a4bf6c-167a-4122-a55b-7bc28ca4f0d4.jpg?1576384340,60324,
Augur of Skulls,B,{1}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/4/945404d5-9e44-45e7-84fd-5f8c893e7d27.jpg?1562924919,26794,
Bloodghast,B,{B}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/3/730c521f-ba12-48fb-b18f-6bb55423a551.jpg?1562850143,66043,
Dusk Legion Zealot,B,{1}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/1/3190cea3-fbea-464f-999b-4b4473be745e.jpg?1555040208,66593,
Flesh Reaver,B,{1}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/3/e3dc6a91-ca13-45da-ba65-8fbb16c159c0.jpg?1562943138,11793,
Lampad of Death's Vigil,B,{1}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/8/e8c9ada9-ea25-4a96-a4be-e4cf8f7a014f.jpg?1581479856,79330,
Oona's Blackguard,B,{1}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/8/180abc09-b098-4a51-bf4f-c1ad7c5e1c30.jpg?1562877061,29162,
Oona's Prowler,B,{1}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/6/9675b8ea-47f9-440e-9535-de879da53f76.jpg?1562359259,28739,
Orzhov Enforcer,B,{1}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/a/6a72b49e-be14-485b-a467-31cbac9aa1c5.jpg?1584830650,71158,
Reassembling Skeleton,B,{1}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/5/75c219bc-a140-4ecd-953a-eef2cc552d58.jpg?1562647787,41325,
